datum;s2_datenverlust_%;s1_otsu_dB;s1_status;ndwi_otsu;ndwi_status;M5_quelle;M1_S1_K0_km2;M2_S2_NDWI_km2;M3_AND_km2;M4_OR_km2;M5_WEIGHTED_km2;M1_delta_km2;M2_delta_km2;M3_delta_km2;M4_delta_km2;M5_delta_km2;M4_delta_pct;M5_delta_pct
2022-12;100,0;-19,87;ok;;zu_wenig_pixel;S1;74,84;;;74,84;74,84;0,8314;;;0,8314;0,8314;1,1;1,1
2023-01;85,5;-19,27;ok;0,031;ok;S1;74,805;8,515;8,446;74,874;74,805;1,0223;1,0892;1,0962;1,003;1,0223;1,3;1,4
2023-02;0,0;-20,48;ok;0,264;ok;S2+S1;74,309;68,082;67,488;74,904;68,082;1,7691;5,248;6,071;0,8712;5,248;1,2;7,7
2023-03;44,9;-19,51;ok;0,242;ok;S2+S1;74,948;17,2;17,104;75,045;50,602;1,0186;2,994;3,0251;0,9629;4,5269;1,3;8,9
2023-04;95,9;-20,65;ok;0,028;ok;S1;75,157;1,219;1,172;75,205;75,157;0,9115;0,5406;0,5238;0,9212;0,9115;1,2;1,2
2023-05;3,3;-19,34;ok;0,404;ok;S2+S1;75,084;44,411;44,095;75,4;46,676;1,1117;5,0013;5,1176;0,943;5,2962;1,3;11,3
2023-06;0,2;-19,06;ok;0,441;ok;S2+S1;74,732;23,983;23,485;75,23;24,014;0,9607;4,3848;4,3667;0,9309;4,3817;1,2;18,2
2023-07;0,2;-19,28;ok;0,237;ok;S2+S1;74,464;74,4;73,806;75,058;74,457;1,0548;0,8656;1,112;0,7984;0,8916;1,1;1,2
2023-08;0,2;-19,37;ok;0,181;ok;S2+S1;74,769;75,28;74,515;75,534;75,306;0,9223;0,7926;0,9147;0,7924;0,7943;1,0;1,1
2023-09;0,0;-19,68;ok;0,126;ok;S2+S1;74,822;75,295;74,578;75,539;75,295;0,8645;0,7988;0,869;0,7851;0,7988;1,0;1,1
2023-10;23,8;-19,67;ok;0,41;ok;S2+S1;74,327;39,611;39,388;74,55;57,911;0,8401;9,3026;9,251;0,842;3,9453;1,1;6,8
2023-11;73,7;-21,89;ok;0,363;ok;S1;46,247;16,644;9,959;52,931;46,247;24,9902;7,4442;7,4455;22,7883;24,9902;43,1;54,0
2023-12;1,4;-23,32;ok;0,176;ok;S2+S1;48,065;55,859;34,257;69,667;56,645;23,3851;9,4612;20,3707;10,3289;10,1167;14,8;17,9
2024-01;55,6;-20,11;ok;0,301;ok;S1;75,163;27,588;27,104;75,648;75,163;0,8198;13,2983;13,1022;0,88;0,8198;1,2;1,1
2024-02;13,7;-21,41;ok;-0,107;ok;S2+S1;75,023;40,497;39,584;75,936;50,742;0,7762;7,3273;7,2126;0,8283;7,8618;1,1;15,5
2024-03;0,2;-20,49;ok;0,409;ok;S2+S1;74,946;24,286;23,961;75,271;24,412;0,8102;9,3595;9,3004;0,8329;9,3684;1,1;38,4
2024-04;0,2;-20,0;ok;0,281;ok;S2+S1;75,024;40,221;39,721;75,524;40,24;0,973;5,2464;5,305;0,8702;5,2497;1,2;13,0
2024-05;62,8;-20,0;ok;-0,065;ok;S1;74,875;12,173;11,911;75,137;74,875;0,8057;2,2602;2,2211;0,815;0,8057;1,1;1,1
2024-06;8,3;-19,11;ok;0,548;unplausibel;S1;75,019;18,166;17,952;75,233;75,019;0,8593;4,5738;4,5406;0,8495;0,8593;1,1;1,1
2024-07;0,2;-20,03;ok;0,076;ok;S2+S1;74,83;75,328;74,529;75,629;75,375;0,8126;0,7981;0,8267;0,775;0,7973;1,0;1,1
2024-08;0,2;-19,77;ok;0,121;ok;S2+S1;74,887;75,334;74,603;75,618;75,379;0,8174;0,8004;0,8329;0,7744;0,802;1,0;1,1
2024-09;0,2;-22,28;ok;0,347;ok;S2+S1;45,208;73,572;44,167;74,614;73,663;21,8094;1,3997;21,55;1,4636;1,4027;2,0;1,9
2024-10;0,0;-19,33;ok;0,386;ok;S2+S1;75,072;67,852;67,524;75,4;67,859;0,8986;8,516;8,5846;0,7856;8,5038;1,0;12,5
2024-11;31,7;-19,19;ok;0,316;ok;S2+S1;74,824;37,307;37,047;75,083;60,945;0,8668;6,6557;6,6463;0,8436;7,1848;1,1;11,8
2024-12;1,8;-20,0;ok;0,23;ok;S2+S1;74,604;8,386;8,102;74,889;9,724;1,205;3,2444;3,154;1,2451;2,9827;1,7;30,7
2025-01;25,5;-23,03;ok;-0,23;ok;S2+S1;46,984;45,255;28,276;63,964;57,59;22,8896;5,3544;14,2394;12,523;10,9682;19,6;19,0
2025-02;100,0;-21,16;ok;;zu_wenig_pixel;S1;74,368;;;74,368;74,368;0,8099;;;0,8099;0,8099;1,1;1,1
2025-03;0,0;-20,48;ok;0,521;unplausibel;S1;74,296;31,556;31,373;74,478;74,296;0,8606;8,473;8,4608;0,8427;0,8606;1,1;1,2
2025-04;0,2;-21,09;ok;0,497;ok;S2+S1;74,666;21,558;21,284;74,941;21,619;0,8119;4,0434;4,0077;0,8237;4,0191;1,1;18,6
2025-05;0,1;-19,89;ok;0,416;ok;S2+S1;74,526;11,442;11,149;74,819;11,463;0,8077;2,3628;2,3226;0,8196;2,3792;1,1;20,8
2025-06;0,2;-19,88;ok;0,32;ok;S2+S1;74,568;11,112;10,85;74,83;11,172;0,8156;2,6261;2,6014;0,8176;2,6657;1,1;23,9
2025-07;0,1;-18,98;ok;0,116;ok;S2+S1;74,879;75,115;74,523;75,472;75,151;0,8237;0,8272;0,8471;0,792;0,8266;1,0;1,1
2025-08;0,2;-20,03;ok;0,044;ok;S2+S1;74,976;75,506;74,756;75,726;75,536;0,7872;0,8216;0,8233;0,7691;0,8155;1,0;1,1
2025-09;0,0;-19,77;ok;0,147;ok;S2+S1;74,868;75,196;74,511;75,553;75,196;0,7951;0,9324;0,9256;0,7857;0,9324;1,0;1,2
2025-10;0,2;-19,62;ok;0,402;ok;S2+S1;74,834;52,395;52,079;75,15;52,511;0,8071;6,8494;6,8187;0,8034;6,8215;1,1;13,0
2025-11;15,6;-20,22;ok;-0,121;ok;S2+S1;74,709;51,026;50,285;75,45;62,481;0,7835;12,627;12,3553;0,8965;12,7837;1,2;20,5
2025-12;5,0;-20,51;ok;0,176;ok;S2+S1;74,582;10,853;10,41;75,025;14,7;0,7903;8,2174;8,0302;0,8642;10,1907;1,2;69,3
